datetime,open,high,low,close,volume,position
2020-04-01,99.7,99.7,99.7,99.7,0,0
2020-04-02,99.685,99.685,99.685,99.685,0,0
2020-04-03,99.69,99.69,99.69,99.69,0,0
2020-04-06,99.63,99.63,99.63,99.63,0,0
2020-04-07,99.585,99.585,99.585,99.585,0,0
2020-04-08,99.6,99.6,99.6,99.6,0,0
2020-04-09,99.62,99.62,99.62,99.62,0,0
2020-04-13,99.61,99.61,99.61,99.61,0,0
2020-04-14,99.625,99.625,99.625,99.625,0,0
2020-04-15,99.655,99.655,99.655,99.655,0,0
2020-04-16,99.665,99.665,99.665,99.665,0,0
2020-04-17,99.68,99.68,99.68,99.68,0,0
2020-04-20,99.69,99.69,99.69,99.69,0,0
2020-04-21,99.71,99.71,99.71,99.71,0,0
2020-04-22,99.7,99.7,99.7,99.7,0,0
2020-04-23,99.705,99.705,99.705,99.705,0,0
2020-04-24,99.705,99.705,99.705,99.705,0,0
2020-04-27,99.695,99.695,99.695,99.695,0,0
2020-04-28,99.7,99.7,99.7,99.7,0,0
2020-04-29,99.715,99.715,99.715,99.715,0,0
2020-04-30,99.725,99.725,99.725,99.725,0,0
2020-05-01,99.72,99.72,99.72,99.72,0,0
2020-05-04,99.735,99.735,99.735,99.735,0,0
2020-05-05,99.73,99.73,99.73,99.73,0,0
2020-05-06,99.745,99.745,99.745,99.745,0,0
2020-05-07,99.8,99.8,99.8,99.8,0,0
2020-05-08,99.79,99.79,99.79,99.79,0,0
2020-05-11,99.77,99.77,99.77,99.77,0,0
2020-05-12,99.77,99.77,99.77,99.77,0,0
2020-05-13,99.79,99.79,99.79,99.79,0,0
2020-05-14,99.8,99.8,99.8,99.8,0,0
2020-05-15,99.825,99.825,99.825,99.825,0,0
2020-05-18,99.78,99.78,99.78,99.78,0,0
2020-05-19,99.78,99.78,99.78,99.78,0,0
2020-05-20,99.775,99.775,99.775,99.775,0,0
2020-05-21,99.775,99.775,99.775,99.775,0,0
2020-05-22,99.78,99.78,99.78,99.78,0,0
2020-05-26,99.775,99.775,99.775,99.775,0,0
2020-05-27,99.77,99.77,99.77,99.77,0,0
2020-05-28,99.765,99.765,99.765,99.765,0,0
2020-05-29,99.785,99.785,99.785,99.785,0,0
2020-06-01,99.795,99.795,99.795,99.795,0,0
2020-06-02,99.79,99.79,99.79,99.79,0,0
2020-06-03,99.755,99.755,99.755,99.755,0,0
2020-06-04,99.74,99.74,99.74,99.74,0,0
2020-06-05,99.675,99.675,99.675,99.675,0,0
2020-06-08,99.68,99.68,99.68,99.68,0,0
2020-06-09,99.715,99.715,99.715,99.715,0,0
2020-06-10,99.765,99.765,99.765,99.765,0,0
2020-06-11,99.79,99.79,99.79,99.79,0,0
2020-06-12,99.78,99.78,99.78,99.78,0,0
2020-06-15,99.79,99.79,99.79,99.79,0,0
2020-06-16,99.775,99.775,99.775,99.775,0,0
2020-06-17,99.795,99.795,99.795,99.795,0,0
2020-06-18,99.8,99.8,99.8,99.8,0,0
2020-06-19,99.82,99.82,99.82,99.82,0,0
2020-06-22,99.83,99.83,99.83,99.83,0,0
2020-06-23,99.835,99.835,99.835,99.835,0,0
2020-06-24,99.835,99.835,99.835,99.835,0,0
2020-06-25,99.835,99.835,99.835,99.835,0,0
2020-06-26,99.855,99.855,99.855,99.855,0,0
2020-06-29,99.865,99.865,99.865,99.865,0,0
2020-06-30,99.865,99.865,99.865,99.865,0,0
2020-07-01,99.845,99.845,99.845,99.845,0,0
2020-07-02,99.855,99.855,99.855,99.855,0,0
2020-07-06,99.855,99.855,99.855,99.855,0,0
2020-07-07,99.86,99.86,99.86,99.86,0,0
2020-07-08,99.865,99.865,99.865,99.865,0,0
2020-07-09,99.88,99.88,99.88,99.88,0,0
2020-07-10,99.865,99.865,99.865,99.865,0,0
2020-07-13,99.85,99.85,99.85,99.85,0,0
2020-07-14,99.85,99.85,99.85,99.85,0,0
2020-07-15,99.84,99.84,99.84,99.84,0,0
2020-07-16,99.845,99.845,99.845,99.845,0,0
2020-07-17,99.845,99.845,99.845,99.845,0,0
2020-07-20,99.85,99.85,99.85,99.85,0,0
2020-07-21,99.85,99.85,99.85,99.85,0,0
2020-07-22,99.855,99.855,99.855,99.855,0,0
2020-07-23,99.855,99.855,99.855,99.855,0,0
2020-07-24,99.85,99.85,99.85,99.85,0,0
2020-07-27,99.84,99.84,99.84,99.84,0,0
2020-07-28,99.845,99.845,99.845,99.845,0,0
2020-07-29,99.855,99.855,99.855,99.855,0,0
2020-07-30,99.875,99.875,99.875,99.875,0,0
2020-07-31,99.88,99.88,99.88,99.88,0,0
2020-08-03,99.885,99.885,99.885,99.885,0,0
2020-08-04,99.895,99.895,99.895,99.895,0,0
2020-08-05,99.885,99.885,99.885,99.885,0,0
2020-08-06,99.88,99.88,99.88,99.88,0,0
2020-08-07,99.86,99.86,99.86,99.86,0,0
2020-08-10,99.85,99.85,99.85,99.85,0,0
2020-08-11,99.815,99.815,99.815,99.815,0,0
2020-08-12,99.815,99.815,99.815,99.815,0,0
2020-08-13,99.81,99.81,99.81,99.81,0,0
2020-08-14,99.81,99.81,99.81,99.81,0,0
2020-08-17,99.82,99.82,99.82,99.82,0,0
2020-08-18,99.835,99.835,99.835,99.835,0,0
2020-08-19,99.845,99.845,99.845,99.845,0,0
2020-08-20,99.845,99.845,99.845,99.845,0,0
2020-08-21,99.835,99.835,99.835,99.835,0,0
2020-08-24,99.84,99.84,99.84,99.84,0,0
2020-08-25,99.83,99.83,99.83,99.83,0,0
2020-08-26,99.825,99.825,99.825,99.825,0,0
2020-08-27,99.815,99.815,99.815,99.815,0,0
2020-08-28,99.835,99.835,99.835,99.835,0,0
2020-08-31,99.84,99.84,99.84,99.84,0,0
2020-09-01,99.845,99.845,99.845,99.845,0,0
2020-09-02,99.835,99.835,99.835,99.835,0,0
2020-09-03,99.845,99.845,99.845,99.845,0,0
2020-09-04,99.815,99.815,99.815,99.815,0,0
2020-09-08,99.825,99.825,99.825,99.825,0,0
2020-09-09,99.82,99.82,99.82,99.82,0,0
2020-09-10,99.825,99.825,99.825,99.825,0,0
2020-09-11,99.85,99.85,99.85,99.85,0,0
2020-09-14,99.86,99.86,99.86,99.86,0,0
2020-09-15,99.855,99.855,99.855,99.855,0,0
2020-09-16,99.835,99.835,99.835,99.835,0,0
2020-09-17,99.84,99.84,99.84,99.84,0,0
2020-09-18,99.825,99.825,99.825,99.825,0,0
2020-09-21,99.845,99.845,99.845,99.845,0,0
2020-09-22,99.855,99.855,99.855,99.855,0,0
2020-09-23,99.855,99.855,99.855,99.855,0,0
2020-09-24,99.85,99.85,99.85,99.85,0,0
2020-09-25,99.85,99.85,99.85,99.85,0,0
2020-09-28,99.84,99.84,99.84,99.84,0,0
2020-09-29,99.84,99.84,99.84,99.84,0,0
2020-09-30,99.835,99.835,99.835,99.835,0,0
2020-10-01,99.835,99.835,99.835,99.835,0,0
